objectid,name,address,address2,municipal,state,zipcode,latitude,longitude,prim_type
208,Bazics Convenience,1 Design Center Pl, ,Boston,MA,2210,42.343883,-71.034115,Convenience
209,Beacon Hill Convenience Store,55 Anderson St, ,Boston,MA,2114,42.359319,-71.067773,Convenience
210,Bellingham Grocery & Package,19 N Main St, ,Bellingham,MA,2019,42.089057,-71.475413,Convenience
211,Bellrock Market,114 Main St, ,Malden,MA,2148,42.419073,-71.065725,Convenience
212,Belmont Market,92 Park Ave, ,Belmont,MA,2478,42.410174,-71.181443,Convenience
213,Belmont Variety,133 Belmont St, ,Belmont,MA,2478,42.375367,-71.155862,Convenience
214,Benjy's Convenience Store,250 Chatham St, ,Lynn,MA,1902,42.474348,-70.937581,Convenience
215,Beras Grocery,20 Hancock St, ,Springfield,MA,1109,42.114388,-72.549165,Convenience
216,Berkeley Street Market,56 Berkeley St, ,Boston,MA,2116,42.346399,-71.070933,Convenience
217,Best Convenience Store,30 Strong Ave, ,Northampton,MA,1060,42.319364,-72.627511,Convenience
218,Best Price Mini Mart,753 Dwight St, ,Holyoke,MA,1040,42.209463,-72.61153,Convenience
219,Bgs Variety,10 Fruit St, ,Newburyport,MA,1950,42.807239,-70.869714,Convenience
220,Bhumi Convenience Inc,8 Shaker Hill Ln, ,Woburn,MA,1801,42.459644,-71.171333,Convenience
221,Big G Minimart,426 E River St, ,Orange,MA,1364,42.582395,-72.290468,Convenience
222,Big Y Express,320 Housatonic St, ,Lee,MA,1238,42.298958,-73.241176,Convenience
223,Blackstone Xtra Mart,15 Main St, ,Blackstone,MA,1504,42.015923,-71.528862,Convenience
224,Blue Hill Convenience,137 Blue Hill Ave # B, ,Roxbury,MA,2119,42.320263,-71.078079,Convenience
225,Blue Hill Convenient Mkt Inc,322 Blue Hill Ave, ,Dorchester,MA,2121,42.313276,-71.07939,Convenience
226,Blue Hill Express Inc,2640 Washington St, ,Canton,MA,2021,42.207135,-71.12002,Convenience
227,Blue Hill Market,766 Blue Hill Ave, ,Dorchester Ctr,MA,2124,42.298383,-71.086693,Convenience
228,Blue's Quick Stop,42 Conwell St, ,Provincetown,MA,2657,42.05795,-70.188548,Convenience
229,Bombay Bazaar,276 Turnpike Rd # 8, ,Westborough,MA,1581,42.281964,-71.644219,Convenience
230,Bonao,276 Oakland St, ,Springfield,MA,1108,42.092551,-72.56296,Convenience
231,Bonao Grocery Store,328 Union St, ,Lynn,MA,1901,42.464219,-70.943563,Convenience
232,Boom Town Variety,1146 Main St, ,Fitchburg,MA,1420,42.587507,-71.810003,Convenience
233,Borass Convenience Store,175 Rantoul St, ,Beverly,MA,1915,42.54761,-70.883914,Convenience
234,Border Bets & Butts,661 Washington St, ,Attleboro,MA,2703,41.909563,-71.363934,Convenience
235,Borgeson's Corner Store,20 Central St # 1, ,South Easton,MA,2375,42.045499,-71.08254,Convenience
236,Borinquen Mini Market,31 Essex St, ,Holyoke,MA,1040,42.203475,-72.610256,Convenience
237,Boston Convenience,390 Cambridge St, ,Burlington,MA,1803,42.524557,-71.22035,Convenience
238,Boston Convenience Enterprises,1 Leighton St, ,Cambridge,MA,2141,42.369719,-71.074006,Convenience
239,Boston Mart,42 Court St, ,Boston,MA,2108,42.359129,-71.059189,Convenience
240,Boston Mobile,651 Warren St, ,Dorchester,MA,2121,42.309755,-71.083018,Convenience
241,Boston Shawarma,226 Washington St, ,Boston,MA,2108,42.358158,-71.057843,Convenience
242,Boston Universal Multiservice,202 Washington St, ,Dorchester,MA,2121,42.302776,-71.078017,Convenience
243,Boston Variety,59 Causeway St, ,Boston,MA,2114,42.3644,-71.062893,Convenience
244,Bostonian Convenience II,420 Medford St, ,Somerville,MA,2145,42.391661,-71.099974,Convenience
245,Bostonian Convenience Store,1464 Dorchester Ave, ,Dorchester,MA,2122,42.300708,-71.059971,Convenience
246,Botanica Anaiza,610 Centre St, ,Jamaica Plain,MA,2130,42.314381,-71.114039,Convenience
247,Botanica Coqui,397 Market St, ,Lowell,MA,1854,42.646106,-71.316036,Convenience
248,Boutwell Corner Store,93 Burrell St, ,Roxbury,MA,2119,42.323633,-71.068204,Convenience
249,Boylston Center Store,700 Main St, ,Boylston,MA,1505,42.353956,-71.734012,Convenience
250,Brafelielro Market,581 Boston Post Rd E, ,Marlborough,MA,1752,42.348279,-71.506766,Convenience
251,Braintree Cafe & Convenience,1719 Washington St, ,Braintree,MA,2184,42.180923,-71.014128,Convenience
252,Braintree Variety Store,153 Hayward St, ,Braintree,MA,2184,42.229342,-70.980323,Convenience
253,Brasil American Convenience,21 Homer Ave, ,Ashland,MA,1721,42.259675,-71.462956,Convenience
254,Brasil On Ferry,448 Ferry St, ,Malden,MA,2148,42.420606,-71.055691,Convenience
255,Brasileirinho,395 Park Ave, ,Worcester,MA,1610,42.257685,-71.822693,Convenience
256,Brazil America,21 Homer Ave, ,Ashland,MA,1721,42.259675,-71.462956,Convenience
257,Brazilian Convenience Store,238 Main St, ,Gloucester,MA,1930,42.614322,-70.659581,Convenience
258,Brazilian Corner,192 Brighton Ave, ,Allston,MA,2134,42.353074,-71.134267,Convenience
259,Brazilian Express,797 Washington St, ,Stoughton,MA,2072,42.124111,-71.101922,Convenience
260,Brazilian Fashion,42c Washington St, ,Gloucester,MA,1930,42.620654,-70.669693,Convenience
261,Brazilian Finest,31 W Wyoming Ave, ,Melrose,MA,2176,42.452202,-71.068528,Convenience
262,Brazilian Market,58 Sandwich St # 1, ,Plymouth,MA,2360,41.953936,-70.661346,Convenience
263,Bridgewater Quick Stop,47 N Main St, ,West Bridgewater,MA,2379,42.020241,-71.00854,Convenience
264,Brinans Convenient Mart,26 Market St, ,Lowell,MA,1852,42.644111,-71.308881,Convenience
265,Broadway Convenience,382 Broadway St, ,Lowell,MA,1854,42.643716,-71.32202,Convenience
266,Broadway Convenience Inc,167 Broadway, ,Fall River,MA,2721,41.698874,-71.167681,Convenience
267,Broadway Market,880 Broadway, ,Everett,MA,2149,42.419819,-71.04449,Convenience
268,Broadway Market,481 Broadway, ,Malden,MA,2148,42.437882,-71.033908,Convenience
269,Broadway Variety,469 Eastern Ave, ,Chelsea,MA,2150,42.40194,-71.019209,Convenience
270,Broadweay Grocery Store,272 Broadway, ,Cambridge,MA,2139,42.367751,-71.097182,Convenience
271,Brockton Convenience Store,25 Pleasant St, ,Brockton,MA,2301,42.08578,-71.020749,Convenience
272,Brockton Food Mart,1293 Main St, ,Brockton,MA,2301,42.059668,-71.014598,Convenience
273,Brockton Market & Deli,238 Forest Ave, ,Brockton,MA,2301,42.070993,-71.029651,Convenience
274,Brockton Mini Mart,139 Pleasant St # 1, ,Brockton,MA,2301,42.086336,-71.025308,Convenience
275,Brookline Village Convenience,421 Landry Ave, ,North Attleboro,MA,2760,41.986903,-71.305402,Convenience
276,Brother's Corner,229 Lewis St, ,Lynn,MA,1902,42.464516,-70.934444,Convenience
277,Brothers Convenience Store,237 Lunenburg St, ,Fitchburg,MA,1420,42.585253,-71.779375,Convenience
278,Brothers Market,91 High St, ,Haverhill,MA,1832,42.773418,-71.091678,Convenience
279,Bucknam Street Market,63 Bucknam St, ,Everett,MA,2149,42.410491,-71.059674,Convenience
280,Buds Liquor & Convenience,532 N Quincy St, ,Brockton,MA,2302,42.111664,-70.998971,Convenience
281,Buffington Mini Mart,75 Buffington St, ,Swansea,MA,2777,41.750791,-71.159432,Convenience
282,Bui's Of Sutton Market,160 Worcester Providence Tpke, ,Sutton,MA,1590,42.136614,-71.735671,Convenience
283,Bull Market Deli,Liberty Sq, ,Boston,MA,2109,42.359135,-71.055237,Convenience
284,Bull Market Press Corp,9 W Broadway # 415, ,Boston,MA,2127,42.34238,-71.057941,Convenience
285,Bunker Hill Market,190 Bunker Hill St, ,Charlestown,MA,2129,42.37864,-71.061767,Convenience
286,Burditt Hill Market,363 Main St, ,Clinton,MA,1510,42.414009,-71.691066,Convenience
287,Bus Stop Variety,633 Main St, ,Watertown,MA,2472,42.3734,-71.203455,Convenience
288,Butts & Bets,99 Pleasant St, ,South Weymouth,MA,2190,42.173807,-70.951383,Convenience
289,Butts & Bets Inc,1213 N Main St, ,Randolph,MA,2368,42.19685,-71.060976,Convenience
290,C & B Convenience Inc,500 Pleasant St, ,Brockton,MA,2301,42.088984,-71.039621,Convenience
291,C & P Mini Mart,676 Main St, ,North Oxford,MA,1537,42.160159,-71.883511,Convenience
292,C & S Mart,99 S Whipple St, ,Lowell,MA,1852,42.628908,-71.300406,Convenience
293,C 2 Z Convenience Store,1212 Main St, ,Springfield,MA,1103,42.100994,-72.58731,Convenience
294,C Store,19 Crystal Dr, ,Stoneham,MA,2180,42.485472,-71.076066,Convenience
295,C-Mart Quincy Inc,10 Hayward St # 40, ,Quincy,MA,2171,42.28545,-71.027243,Convenience
296,Caballeros Market Inc,796 Washington St, ,Dorchester Ctr,MA,2124,42.283635,-71.071442,Convenience
297,California Convenience,472 Main St, ,Waltham,MA,2452,42.377219,-71.229387,Convenience
298,Caminho De Casa,3 Blandin Ave, ,Framingham,MA,1702,42.277833,-71.409677,Convenience
299,Campus Convenience,463 State St, ,Springfield,MA,1105,42.107549,-72.577148,Convenience
300,Campus Mini Mart,356 Boston Ave, ,Medford,MA,2155,42.411283,-71.120997,Convenience
301,Canal Street Global,200 Canal St, ,Salem,MA,1970,42.506554,-70.896387,Convenience
302,Cantinho Dagente,340 North St, ,Pittsfield,MA,1201,42.453391,-73.252441,Convenience
303,Canton Market,569 Washington St, ,Canton,MA,2021,42.152975,-71.146664,Convenience
304,Cape Groceries Inc,590 Route 28, ,West Yarmouth,MA,2673,41.650025,-70.229385,Convenience
305,Cape Mart,130 Center St, ,Hyannis,MA,2601,41.657201,-70.283489,Convenience
306,Capeway Convenience Store,578 Wareham St, ,Middleboro,MA,2346,41.822553,-70.823557,Convenience
307,Cappy's Convenience Store Inc,949 Dorchester Ave, ,Dorchester,MA,2125,42.318625,-71.056916,Convenience
308,Cappy's Store,90 Westland Ave, ,Boston,MA,2115,42.343882,-71.089765,Convenience
309,Caribbean Market,217 Bowdoin St, ,Dorchester,MA,2122,42.305587,-71.067734,Convenience
310,Carlees Convenience,51 Montmorenci St, ,Springfield,MA,1107,42.118156,-72.600923,Convenience
311,Carmen Mini Market Inc,93 Ingleside Ave, ,Worcester,MA,1604,42.256637,-71.780215,Convenience
312,Carole's Convenience,173 Broadway, ,Everett,MA,2149,42.399417,-71.06238,Convenience
313,Carolina Convenience Store,462 Prospect St, ,Methuen,MA,1844,42.723336,-71.156648,Convenience
314,Carolina Mini Market,3 Hanabea Ln # C, ,Nantucket,MA,2554,41.261451,-70.06321,Convenience
315,Carver Village Market,128 Main St, ,Carver,MA,2330,41.886815,-70.765394,Convenience
316,Casa Blanca Convenience Store,41 Burrell St, ,Roxbury,MA,2119,42.322942,-71.070563,Convenience
317,Cashion's Quick Stop,60 Temple Pl # 4, ,Boston,MA,2111,42.354968,-71.061427,Convenience
318,Cassies Corner Store,5 Chapman St, ,Canton,MA,2021,42.171372,-71.141708,Convenience
319,Castleway Market,432 Mechanic St, ,Fitchburg,MA,1420,42.598399,-71.802625,Convenience
320,CCS Variety Store,314 Bay St, ,Springfield,MA,1109,42.117177,-72.566532,Convenience
321,Cedar Street Market,100 E Main St, ,Milford,MA,1757,42.148333,-71.509771,Convenience
322,Cedars Convenience Plus,377 Cedar St, ,New Bedford,MA,2740,41.648166,-70.937303,Convenience
323,Celina's Market,1041 N Main St, ,Brockton,MA,2301,42.110347,-71.031715,Convenience
324,Centerville Convenience,619 Main St, ,Hyannis,MA,2601,41.652869,-70.283692,Convenience
325,Centerville Gas & Mart,443 Essex St, ,Beverly,MA,1915,42.575784,-70.850106,Convenience
326,Central American Market,14 Central Ave, ,Chelsea,MA,2150,42.390273,-71.034752,Convenience
327,Central Convenience,468 Massachusetts Ave, ,Cambridge,MA,2139,42.363874,-71.101252,Convenience
328,Central Convenience,395 Bowdoin St, ,Dorchester,MA,2122,42.297795,-71.055116,Convenience
329,Central Convenience,194 Dudley St, ,Roxbury,MA,2119,42.328662,-71.081756,Convenience
330,Central Convenience,218 Blue Hill Ave, ,Roxbury,MA,2119,42.316986,-71.07784,Convenience
331,Central Convenience Store,472 Mystic Ave, ,Somerville,MA,2145,42.397675,-71.092046,Convenience
332,Central Marketing & Travel,1060 Washington St, ,Norwood,MA,2062,42.179746,-71.204897,Convenience
333,Central Variety Store,431 Medford St, ,Somerville,MA,2145,42.392358,-71.100388,Convenience
334,CFM Variety,492 Walpole St, ,Norwood,MA,2062,42.177989,-71.222284,Convenience
335,Chadpy's Mini Mart,432 N Main St, ,Petersham,MA,1366,42.545113,-72.193121,Convenience
336,Chamas Market,198 Humboldt Ave, ,Dorchester,MA,2121,42.312992,-71.089547,Convenience
337,Chappy Service Station,219 Chappaquiddick Rd, ,Edgartown,MA,2539,41.384567,-70.521688,Convenience
338,Charlemont Mini Svc,62 Main St, ,Charlemont,MA,1339,42.626777,-72.87912,Convenience
339,Charles Street Convenience,429 Charles St, ,Malden,MA,2148,42.422976,-71.085846,Convenience
340,Charlie's Convenience Ctr,68 Old Farm Rd, ,Douglas,MA,1516,42.038371,-71.746567,Convenience
341,Charlie's Laundry & Cnvnnc,219 Quincy Ave, ,Braintree,MA,2184,42.208604,-71.002132,Convenience
342,Charlie's Mini Market,247 Atlantic St, ,North Quincy,MA,2171,42.283911,-71.024675,Convenience
343,Charlton Country Store,231 Stafford St, ,Charlton,MA,1507,42.164081,-71.962258,Convenience
344,Chelsea Mini Market,560 Lincoln St, ,Worcester,MA,1605,42.296301,-71.772089,Convenience
345,Cherry Market,147 S Main St, ,Leicester,MA,1524,42.244901,-71.91541,Convenience
346,Chestnut Convenience Store,115 Chestnut St, ,Springfield,MA,1103,42.10482,-72.58832,Convenience
347,Chestnut Hill Convenience,199 Boylston St # N115, ,Chestnut Hill,MA,2467,42.321281,-71.176117,Convenience
348,Chestnut Market,526 Chestnut St, ,Springfield,MA,1107,42.115323,-72.599879,Convenience
349,Chi Chi Produce Market,2251 Washington St, ,Roxbury,MA,2119,42.330593,-71.083509,Convenience
350,Chicho's Convenience Store Inc,330 N Main St # 4b, ,Brockton,MA,2301,42.092423,-71.019368,Convenience
351,Chicopee Convenience,1177 Granby Rd, ,Chicopee,MA,1020,42.173953,-72.587438,Convenience
352,Chicopee Convenience Inc,46 Center Sq, ,East Longmeadow,MA,1028,42.064777,-72.513313,Convenience
353,Chicopee Convenience Offices,10 Center St # 311, ,Chicopee,MA,1013,42.148171,-72.607256,Convenience
354,Chris's Convenience Store,232 Hampshire St, ,Lawrence,MA,1841,42.710605,-71.168321,Convenience
355,Chrissies Convenience,115 Main St, ,Everett,MA,2149,42.404876,-71.06118,Convenience
356,Christina's Market,181 Main St, ,Fitchburg,MA,1420,42.581841,-71.794012,Convenience
357,Christy's Of Cape Cod,1675 Falmouth Rd, ,Centerville,MA,2632,41.656975,-70.347951,Convenience
358,Christy's Of Cape Cod,678 Main St, ,Chatham,MA,2633,41.683052,-69.9619,Convenience
359,Christy's Of Cape Cod,125 W Main St, ,Hyannis,MA,2601,41.646623,-70.300564,Convenience
360,Christy's Of Cape Cod,399 S Orleans Rd, ,Orleans,MA,2653,41.752976,-69.990197,Convenience
